AirportCode,WeatherDate,Snow,Rain,Fog,Storm,Precipitation,Hail,Light,Moderate,Heavy,Severe,UNK,Other,AM/PM
ORD,2020-01-04,1,0,0,0,0,0,1,0,0,0,0,0,0
DFW,2020-01-03,0,0,1,0,0,0,0,1,0,0,0,0,0
DFW,2020-01-03,0,0,1,0,0,0,0,0,0,1,0,0,0
DFW,2020-01-03,0,0,1,0,0,0,0,0,0,1,0,0,0
LAX,2020-01-03,0,0,1,0,0,0,0,1,0,0,0,0,0
ATL,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2020-01-02,0,1,0,0,0,0,0,1,0,0,0,0,1
ATL,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2020-01-02,0,1,0,0,0,0,0,1,0,0,0,0,1
ATL,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2020-01-02,0,1,0,0,0,0,0,1,0,0,0,0,1
ATL,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2020-01-03,0,0,1,0,0,0,0,0,0,1,0,0,0
ATL,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2020-01-03,0,1,0,0,0,0,0,0,1,0,0,0,1
ATL,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2020-01-03,0,0,1,0,0,0,0,0,0,1,0,0,1
ATL,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2020-01-04,0,0,1,0,0,0,0,0,0,1,0,0,1
ATL,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2020-01-07,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-04,0,1,0,0,0,0,0,1,0,0,0,0,0
SEA,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-05,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-05,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-05,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-05,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-05,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-06,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-06,0,1,0,0,0,0,0,1,0,0,0,0,1
SEA,2020-01-06,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-07,0,1,0,0,0,0,0,1,0,0,0,0,0
SEA,2020-01-07,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2020-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2020-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
SFO,2020-01-02,0,0,1,0,0,0,0,1,0,0,0,0,1
SFO,2020-01-02,0,0,1,0,0,0,0,0,0,1,0,0,1
CLT,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-03,0,1,0,0,0,0,0,1,0,0,0,0,0
CLT,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2020-01-03,0,1,0,0,0,0,0,1,0,0,0,0,0
CLT,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2020-01-03,0,0,1,0,0,0,0,0,0,1,0,0,1
CLT,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-03,0,0,1,0,0,0,0,0,0,1,0,0,1
CLT,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-03,0,1,0,0,0,0,0,1,0,0,0,0,1
CLT,2020-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2020-01-04,0,0,1,0,0,0,0,0,0,1,0,0,0
CLT,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-04,0,1,0,0,0,0,0,1,0,0,0,0,1
CLT,2020-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2020-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
