AirportCode,WeatherDate,Snow,Rain,Fog,Storm,Precipitation,Hail,Light,Moderate,Heavy,Severe,UNK,Other,AM/PM
ORD,2018-01-03,1,0,0,0,0,0,1,0,0,0,0,0,0
ORD,2018-01-07,1,0,0,0,0,0,1,0,0,0,0,0,0
ORD,2018-01-07,1,0,0,0,0,0,1,0,0,0,0,0,1
ORD,2018-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
ORD,2018-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
DEN,2018-01-02,0,0,1,0,0,0,0,1,0,0,0,0,0
DEN,2018-01-02,0,0,1,0,0,0,0,1,0,0,0,0,0
DEN,2018-01-07,0,1,0,0,0,0,1,0,0,0,0,0,0
DEN,2018-01-07,1,0,0,0,0,0,1,0,0,0,0,0,0
DFW,2018-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2018-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2018-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
LAX,2018-01-02,0,0,1,0,0,0,0,1,0,0,0,0,1
LAX,2018-01-03,0,0,1,0,0,0,0,1,0,0,0,0,0
LAX,2018-01-03,0,0,1,0,0,0,0,0,0,1,0,0,0
LAX,2018-01-03,0,0,1,0,0,0,0,1,0,0,0,0,1
LAX,2018-01-03,0,0,1,0,0,0,0,1,0,0,0,0,1
LAX,2018-01-04,0,0,1,0,0,0,0,1,0,0,0,0,0
LAX,2018-01-04,0,0,1,0,0,0,0,1,0,0,0,0,1
LAX,2018-01-05,0,0,1,0,0,0,0,0,0,1,0,0,1
LAX,2018-01-06,0,0,1,0,0,0,0,0,0,1,0,0,0
LAX,2018-01-06,0,0,1,0,0,0,0,0,0,1,0,0,1
LAX,2018-01-06,0,0,1,0,0,0,0,1,0,0,0,0,1
LAX,2018-01-07,0,0,1,0,0,0,0,1,0,0,0,0,1
LAX,2018-01-07,0,0,1,0,0,0,0,1,0,0,0,0,1
SEA,2018-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-01-05,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-01-05,0,0,1,0,0,0,0,1,0,0,0,0,1
SEA,2018-01-05,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-01-06,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-01-07,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
SFO,2018-01-03,0,0,1,0,0,0,0,1,0,0,0,0,1
SFO,2018-01-04,0,1,0,0,0,0,0,1,0,0,0,0,0
SFO,2018-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
SFO,2018-01-05,0,1,0,0,0,0,1,0,0,0,0,0,0
SFO,2018-01-05,0,1,0,0,0,0,1,0,0,0,0,0,1
SFO,2018-01-05,0,1,0,0,0,0,1,0,0,0,0,0,1
SFO,2018-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SFO,2018-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SFO,2018-01-07,0,0,1,0,0,0,0,0,0,1,0,0,1
SFO,2018-01-07,0,0,1,0,0,0,0,0,0,1,0,0,1
